StatID,Name,Category,Level,Description,FormulaConcept,PrimaryInputs,FilterContext,ComputableNow,ExtraDataNeeded,LLMNotes
xG_SHOT,Shot-Level Expected Goals,xG,Event,Probability a single shot becomes a goal.,"xG = model(distance,angle,shot_type,pre-shot movement,rebound,rush,etc).","fact_events_xy,shot features,trained ML model",,needs_xy,Training data of many shots with outcomes + model.,Core feature of modern hockey analytics (Evolving-Hockey/MoneyPuck style).
xGF_ON,On-Ice Expected Goals For,xG,"Player-On-Ice-Game,Team-Game",Sum of xG for shots taken by team while player is on ice.,xGF_ON = Σ xG_SHOT where shooting_team==player_team and player on ice.,"xG_SHOT,fact_shifts_on_ice","5v5,score-tied",needs_xy,xG_SHOT values must be computed first.,Better on-ice measure than raw GF; adjusts for shot quality.
xGA_ON,On-Ice Expected Goals Against,xG,"Player-On-Ice-Game,Team-Game",Sum of xG for shots against while player is on ice.,xGA_ON = Σ xG_SHOT where shooting_team!=player_team and player on ice.,"xG_SHOT,fact_shifts_on_ice","5v5,score-tied",needs_xy,,Use with xGF_ON to build xGF% and expected goal differential.
xGF_PCT,xG Percentage,xG,"Player-On-Ice-Game,Team-Game",Share of expected goals for vs total while player is on ice.,xGF_PCT = xGF_ON / (xGF_ON + xGA_ON).,"Derived from xGF_ON,xGA_ON","5v5,score-tied",needs_xy,,Key quality-adjusted territorial metric.
CONTROLLED_ENTRY_FOR,Controlled Zone Entries For,Transition,"Player-Game,Team-Game",Entries into OZ with possession (carry or completed pass).,"Count events where type='zone_entry' and event_detail_1 in {'carry','pass'} and event_successful=1.","fact_events_long(type,event_detail_1,event_successful,event_player_1_id)",,now_manual_tracking,Zone_entry tagging must be consistent.,Microstat widely used by AllThreeZones/JFresh; correlates with offense.
DUMP_ENTRY_FOR,Dump-and-Chase Entries For,Transition,"Player-Game,Team-Game","Zone entries where team sends puck in without immediate possession (dump, chip).","Count events type='zone_entry' and event_detail_1 in {'dump','chip'}",fact_events_long,,now_manual_tracking,,Lets you compare controlled vs dump entry profiles.
CONTROLLED_ENTRY_RATE,Controlled Entry Rate,Transition,"Player-Game,Team-Game",Share of entries that are controlled.,CONTROLLED_ENTRY_RATE = CONTROLLED_ENTRY_FOR / (CONTROLLED_ENTRY_FOR + DUMP_ENTRY_FOR).,Derived from entry stats,,now_manual_tracking,,Higher values suggest better transition puck management.
ENTRY_DENIAL,Entry Denials,Micro-Defense,Player-Game,Number of times player stops an opposition entry at blue line.,Count zone_entry attempts by opponent where event_successful=0 and defender is event_player_1.,fact_events_long,,now_manual_tracking,Defensive attribution logic.,Key defensive microstat; especially for defensemen.
DZ_EXIT_CONTROLLED,Controlled DZ Exits,Transition,Player-Game,Defensive-zone exits where team leaves zone with possession.,"Count events type='zone_exit' and event_detail_1 in {'carry','pass'} and success=1.",fact_events_long,,now_manual_tracking,,Important for breakout analysis and puck-moving defense.
RUSH_CHANCE_FOR,Rush Chances For,Transition,"Player-Game,Team-Game",Shots or chances generated quickly after a full-ice rush.,Identify sequences: DZ exit with control → NZ possession → OZ entry with control → shot within N seconds.,"fact_sequences,fact_events_long",,now_manual_tracking,Sequence table linking events in time.,Used in many public models to distinguish rush vs cycle offense.
GIVEAWAY,Giveaways,Micro-Offense,Player-Game,Times a player loses puck directly to opponent while under control.,Count events type='turnover' where event_player_1 is giver and not an intentional dump/clear/miss shot.,"fact_events_long(type,event_detail_1,play_details_1)",,now_manual_tracking,Classification rules distinguishing dumps vs mistakes.,You requested refined giveaways excluding dumps/clears/miss shots.
TAKEAWAY,Takeaways,Micro-Defense,Player-Game,"Times player steals puck from opponent, gaining possession.","Count events type in {'takeaway','stick_lift','interception'} credited to player.",fact_events_long,,now_manual_tracking,Event taxonomy for steals.,Important defensive disruptor microstat.
OZ_POSSESSION_TIME,Offensive Zone Possession Time,Micro-Offense,"Team-Game,Player-Game",Time spent controlling puck in offensive zone.,Sum durations of sequences labeled zone='OZ' and possession_team=team.,fact_sequences,,now_manual_tracking,Need clear sequences and possession logic.,Cycle-heavy teams will show high OZ possession time.
GSAx,Goals Saved Above Expected,Goalie,"Goalie-Game,Goalie-Season",How many goals a goalie prevents relative to expected based on shot quality.,GSAx = Σ xG_SHOT_faced - goals_allowed.,"xG_SHOT,goal events by goalie",,needs_xy,Goalie attribution + xG model.,Key modern goalie stat; used widely by Evolving-Hockey/MoneyPuck.
HD_SV_PCT,High-Danger Save Percentage,Goalie,"Goalie-Game,Goalie-Season",Save percentage on high-danger shots.,HD_SV% = (HD_shots_faced - HD_goals_allowed) / HD_shots_faced.,"fact_events_xy,goalie_id,danger_zone",,needs_xy,Danger zone classification for shots.,Evaluates performance on toughest chances.
LINE_CF_PER60,Line Corsi For per 60,Lineup,"Line-Combo-Game,Season",Shot attempts for per 60 whilst a specific line combo is on ice.,CF per line / TOI_line * 60.,"fact_lines_on_ice,fact_events_long",5v5,now_manual_tracking,Line identification from shifts.,For optimizing line combos and matchups.
WOWY_GF_DIFF,WOWY Goal Diff,Lineup,Pair-Season,Change in GF% for a player when a specific teammate is with vs without them.,WOWY_GF_DIFF = GF%(with) - GF%(without).,"on-ice tables,goal events",5v5,now_manual_tracking,,Used for with-or-without-you evaluation and player synergy.
SKATE_SPEED_MAX,Max Skate Speed,Tracking,Player-Game,Highest instantaneous skating speed.,"speed_t = distance(pos_t,pos_{t-1})/Δt; SKATE_SPEED_MAX = max(speed_t).",high-frequency tracking positions,,needs_tracking,Per-frame positions for players.,NHL Edge publishes similar speed metrics.
ACCEL_RUSH,Rush Acceleration,Tracking,Player-Game,Peak acceleration during rush sequences.,"During rush segments, accel_t=(speed_t-speed_{t-1})/Δt; take max.","tracking positions,sequence labels",,needs_tracking,,Differentiate elite rush skaters from slower players.
DEF_GAP_AVG,Average Defensive Gap,Tracking,Player-Game,Average distance between defender and puck carrier in NZ/OZ.,"At each frame, identify nearest defender to carrier; average separation.",tracking positions + puck carrier id,,needs_tracking,,Key concept in modern defensive coaching.
GIVEAWAY_VS_ELITE,Giveaways vs Elite Opponents,Rating-Aware,Player-Season,Giveaways a player commits while facing lines with avg rating ≥ threshold.,"For each giveaway, compute avg opponent rating on ice; count if >= threshold.","fact_events_long,fact_shifts_on_ice,dim_player.rating",,now_manual_tracking,,Provides rating-aware turnover context (your request).
OZ_TIME_VS_WEAK,OZ Time vs Weaker Lines,Rating-Aware,Player-Season,Proportion of OZ possession time when player’s line is higher-rated than opponent’s.,Sum OZ possession where team_avg_rating > opp_avg_rating / total OZ time.,"fact_sequences,dim_player.rating,fact_shifts_on_ice",,now_manual_tracking,Ratings for all players.,Contextualizes OZ dominance vs matchup difficulty.
CHAIN_XG_RATING_ADJ,Rating-Adjusted Sequence xG,Rating-Aware,Sequence,xG for a sequence adjusted for offensive and defensive line ratings.,"xG_adj = base_xG * f(avg_att_rating,avg_def_rating).","fact_sequences_xg,dim_player.rating",,needs_xy,Model for f and sequence xG.,Brings your rating system into expected-goals logic.
CLIP_COUNT_ENTRY,Entry Clips Count,Video,Player-Game,Number of video clips generated for OZ entries by player.,Count events type='zone_entry' with non-null video_url_start for player.,"fact_events_long,fact_video_links",,now_manual_tracking,Video-link ETL step.,Useful for film review workloads: how many clips to watch.
WATCH_TIME_PLAYER,Clip Watch Time per Player,Video,Player-Game,Total duration of all video clips tagged to player’s events.,Sum(clip_end - clip_start) across all clips for player.,fact_video_links,,now_manual_tracking,Clip duration metadata.,Can be used to size coaching workload or generate auto-reels.
