stat_id,name,short_name,level,category,description,formula_or_logic,formula_concept,inputs_core,inputs_optional,filter_context_notes,primary_data_sources,requires_detailed_tracking,feasible_from_league_boxscore_only,implementation_status,extra_data_needed,example_usage,notes,llm_notes
BS08,Time on Ice (Seconds),,player_game,Basic,"Total time a player spends on the ice in a game, excluding stoppage time if available.",,"Sum of logical shift durations for the player from player_shifts table. If 'stoppage_time' per shift segment
is available, subtract stoppage segments from total.",,,,,,,Yes,,,,"For consistency, TOI should be based on logical shifts, not raw segment rows. The LLM should prefer
fact_player_shifts or fact_player_toi tables instead of recomputing from raw timestamps unless necessary."
BS09,Time on Ice (Minutes),,player_game,Basic,TOI expressed in minutes instead of seconds.,,TOI_minutes = TOI_seconds / 60.,,,,,,,Yes,,,,"Display this with one decimal (e.g., 19.3). Make sure to handle rounding consistently."
BS10,Points per 60,,player_game,Rate,Rate of points per 60 minutes of ice time in a game or range of games.,,"Points60 = (Goals + Assists) * 3600 / TOI_seconds, provided TOI_seconds > 0.",,,,,,,Yes,,,,"When TOI is very low, this stat explodes. If asked to rank players, suggest including a minimum TOI filter,
e.g., >= 100 minutes for season comparisons."
BS11,Corsi For %,,player_onice_game,On-Ice,Percentage of total on-ice Corsi events that are for the player's team.,,"CF% = CF / (CF + CA), where CF = Corsi For, CA = Corsi Against. Only include events where the player is on the
ice.",,,,,,,Yes,,,,"If CF + CA = 0 (no attempts while on ice), set CF% to NULL or leave blank. The LLM should explicitly check for
division-by-zero edge cases."
BS12,Fenwick For %,,player_onice_game,On-Ice,"Percentage of unblocked shot attempts (Fenwick) that are for the player's team while the player is
on the ice.",,"FF% = FF / (FF + FA). Definitions mirror CF%, but for unblocked attempts only.",,,,,,,Yes,,,,"Fenwick% behaves similarly to CF%. The model should treat them as cousins and avoid mixing inputs (e.g., do
not use CF as numerator when computing FF%)."
BS13,Expected Goals (xG),,player_game,Advanced,Sum of expected goal values for all shots taken by the player.,,"xG = sum over shots (xG_value_i) where xG_value_i is derived from features like shot location, shot type, pre-
shot movement, screens, etc.",,,,,,,Partial,"Requires a trained xG model and shot-level input features (distance, angle, shot type, pre-shot passes). If not present, treat xG as not available.",,,"LLM should check whether an xG column exists in the fact_shots_xy or fact_events_wide tables. If it does not,
explain that xG is a planned metric and describe conceptually how it would be computed."
BS14,"Expected Goals Against (xGA, On-Ice)",,player_onice_game,Advanced,Total expected goals against while the player is on the ice.,,"xGA_on_ice = sum of shot xG_values where shot is by opponents and the player is on the ice according to on-ice
tables.",,,,,,,Partial,Same requirements as xG stats: must have per-shot xG values plus reliable on-ice data.,,,"Model should handle this like Corsi Against but with xG weights instead of binary attempts. If xG is missing,
the stat cannot be computed numerically."
BS15,Rating-Weighted Corsi For per 60,,player_onice_game,RatingAware,"Corsi For per 60 minutes, adjusted by the average rating of opponents on the ice.",,"CF60_raw = CF * 3600 / TOI_seconds. OppRating = average rating of all opponent skaters on ice for those CF
events. RatingWeightedCF60 could be CF60_raw * (OppRating / LeagueAvgRating).",,,,,,,Partial,"Requires stable 'rating' field in dim_player and defined LeagueAvgRating value. Without ratings, compute ordinary CF60 instead.",,,"LLM should check for dim_player.rating; if not present, explain that the rating-adjusted version can't be
computed and fall back to plain CF60. Make the dependency explicit."
BS16,Zone Entry Success Rate (Carry-In / Dump-In),,player_game,Microstat,"Success rate of zone entries attempted by a player, separated by carry-ins vs dump-ins.",,"CarrySuccessRate = successful_carry_entries / total_carry_entries. DumpSuccessRate = successful_dump_entries /
total_dump_entries, where each entry is an event with type IN ('zone_entry') and details / play_details encode
carry vs dump and successful vs unsuccessful.",,,,,,,Partial,"Requires the events schema to explicitly classify entries as 'carry' vs 'dump' and successful vs unsuccessful (event_successful or play_successful). If that labeling is inconsistent, the stat may be incomplete.",,,"When the user requests entry microstats, LLM should search for event types labeled 'zone_entry' and examine
event_detail_1/2, play_detail_1/2, and success flags. If classification columns aren't present, the model
should describe what's missing."
BS17,Zone Exit Success Rate,,player_game,Microstat,"Success rate of zone exits a player attempts, including with-possession and without-possession
exits.",,"ExitSuccessRate = successful_exits / total_exits, where each exit is an event with type IN ('zone_exit') and
success is encoded in event_successful or play_successful and additional details for with-possession vs
rims/clears.",,,,,,,Partial,Needs clear tagging of exit events and success conditions in the tracking template.,,,"LLM should note that not all 'exits' are of equal quality. If more detail exists in play_detail fields (e.g.,
with-control vs without-control), propose separate metrics for each."
BS18,Controlled Breakout Rate,,team_game,Microstat,Percentage of defensive-zone exits that lead to controlled possession through the neutral zone.,,"ControlledBreakoutRate = controlled_exits / total_exits, where controlled_exits are those tagged as with-
possession and may be followed by a controlled neutral-zone carry or pass.",,,,,,,Partial,Requires sequence/chain modeling across events: must know that an exit and subsequent events belong to the same sequence.,,,"Recommend implementing sequences that span DZ → NZ → OZ using the existing sequence_index or play_index. LLM
should describe conceptual logic if the sequence tables are not yet created."
BS19,Rush Chances,,player_game,Microstat,"Number of scoring chances (shots or passes leading to shots) that occur shortly after a fast
transition through multiple zones.",,"RushChance is typically defined as a shot or high-danger chance that occurs within N seconds of a controlled
zone entry or multi-zone carry. Count such events for which the player is either shooter (event_player_1) or
primary passer (event_player_2).",,,,,,,No,"Requires (1) time-aware sequence modeling, (2) speed or at least start/end zone timestamps, (3) shot categorization as 'chance' vs 'simple shot'. These are not fully implemented yet.",,,"LLM should flag this stat as 'planned but not fully implemented'. It can describe how to compute it logically
but avoid claiming numeric values unless the necessary derived tables exist."
BS20,Cycle Possessions,,team_game,Microstat,"Number of offensive-zone possessions where the puck is retained and passed multiple times without
exiting the offensive zone.",,"Define a cycle as a sequence of events where the puck stays in OZ, there are >= N successful passes among
teammates, and no zone exit occurs before the sequence ends. Count these per team.",,,,,,,No,Needs robust possession + zone modeling and a clear rule for 'cycle' vs 'simple OZ touch'.,,,"LLM can propose logic and feature-engineering steps but should mark actual metric as not yet implemented
unless cycle classification columns exist."
BS21,With-You vs Without-You GF%,,pair_or_line_game,Impact,Comparative GF% when a player is on the ice with a specific teammate vs when that teammate is off.,,"For a pair (A,B): GF%_with = GF_with / (GF_with + GA_with) in minutes where both on ice; GF%_without =
GF_without / (GF_without + GA_without) where A is on ice and B is not. The difference reflects synergy or
dependency.",,,,,,,Partial,Needs robust on-ice combination tables (line/pair IDs) and enough samples per pair.,,,"LLM should caution about small-sample noise and propose usage thresholds. For large combinatorics, suggest
pre-aggregated 'fact_line_onice' tables."
BS22,Head-to-Head Expected Goals For vs Specific Opponent,,player_vs_player,Impact,"Expected goals generated by Player A's team while A is on the ice against a specific opponent Player
B.",,"xGF_H2H(A vs B) = sum of xG for shots by A's team when both A and B are on the ice, minus xGA_H2H, similar to
CF-style on-ice logic but restricted to overlapping TOI for those two players.",,,,,,,Partial,"As with xG stats, must have xG values per shot and accurate on-ice tables. Also needs efficient pair indexing for on-ice overlap.",,,"LLM should treat this as an advanced H2H view. If xG is unavailable, fallback to shot attempts or goals in the
same on-ice windows."
BS23,Puck Touches / Possession Events,,player_game,Microstat,"Number of times a player directly controls the puck (touches, carries, receptions).",,"Count events where event_detail_1 or play_detail_1 indicate 'puck_touch', 'receive_pass', 'carry', or similar
labels, with event_player_1 = player_id.",,,,,,,Partial,Requires explicit tagging of touches in the tracking template; not every project tracks these as discrete events.,,,"The LLM should check for presence of event types or details labeled as 'touch' or 'puck possession'. If not
present, note that this stat is conceptual only."
BS24,Giveaways (Non-Dump/Clear),,player_game,Microstat,"Number of times a player turns the puck over excluding deliberate dumps/clears and certain missed
shots.",,"Count events where event_type or event_detail_1 indicate 'giveaway' or 'turnover' AND NOT (event_detail_2 in
('dump', 'clear') OR event_detail_1 IN ('shot_miss_special_cases')).",,,,,,,Yes,,,,"The key requirement from the user: this should ignore low-value dump/clear giveaways and simple missed shots.
LLM should treat 'smart clears' as separate when flagged."
BS25,Takeaways,,player_game,Microstat,Number of times a player wins the puck from an opponent via a takeaway or interception.,,"Count events where event_type = 'takeaway' OR play_detail fields indicate 'interception',
'poke_check_recover', etc., with event_player_1 = player_id.",,,,,,,Yes,,,,"Takeaways often involve subjective scoring; the LLM should acknowledge potential scorer bias when interpreting
this stat."
BS26,Faceoff Win %,,player_game,Basic,Percentage of faceoffs a player takes that they win.,,"FO% = faceoff_wins / (faceoff_wins + faceoff_losses), where a 'win' is indicated by event_player_1 for faceoff
events and 'loss' by opp_player_1.",,,,,,,Yes,,,,"The LLM should ensure it counts only draws where the player is a participant (event_player_1 or opp_player_1).
Neutral faceoffs or mis-tagged rows should be excluded."
BS27,Offensive Zone Start %,,player_game,Usage,Share of a player's non-neutral zone faceoff shifts that start in the offensive zone.,,"OZ_Starts = count of shifts that begin after an OZ faceoff for player's team; DZ_Starts = same for DZ.
OZ_Start% = OZ_Starts / (OZ_Starts + DZ_Starts).",,,,,,,Partial,Requires zone_start classification in player_shifts or zone labeled faceoff events linked to shift starts.,,,"If zone_start is present, use it. If not, the LLM should describe how to infer it: map faceoff events to the
subsequent shifts for players on ice."
BS28,Zone Time (Offensive / Neutral / Defensive),,player_game,Usage,Total time a player spends in each zone while on the ice.,,"Sum shift durations grouped by zone (OZ/NZ/DZ) based on where the puck is or where the shift is classified as
starting/ending, depending on project conventions.",,,,,,,Partial,"Needs reliable zone labeling on shifts. If only event zones exist, you must approximate using events overlapping player TOI.",,,"LLM should clarify which convention is used: 'where the shift starts' vs 'where the puck is most of the
shift'."
BS29,Shift Count,,player_game,Usage,Number of logical shifts a player takes in a game.,,Count of rows in player_shifts table for the player in the given game.,,,,,,,Yes,,,,"Your earlier requirement: use logical shifts (grouped by contiguous shift_index segments) and also track
cumulative shift number. The LLM should not count raw shift_index rows."
BS30,Average Shift Length,,player_game,Usage,Average duration of a player's shifts in a game.,,AvgShiftLength = average(shift_duration_seconds) across all logical shifts in player_shifts.,,,,,,,Yes,,,,"Warn about small sample sizes (e.g., a player with 2 shifts). If asked season-wide, aggregate across games."
BS31,Possession Time (Event Player),,player_game,Microstat,Total time a player has direct puck possession in tracked events.,,"Sum over events where event_type in ('possession','zone_entry','zone_exit', etc.) AND event_player_1 =
player_id of (event_end_time - event_start_time) in seconds.",,,,,,,Partial,Requires event_start and event_end timestamps for possession-type events.,,,"When those timestamps exist, the LLM can compute per-player and per-zone possession time. If not, mark as
conceptual-only."
BS32,Puck Distance Carried,,player_game,Microstat,Total distance a player carries the puck across all possession events.,,"For each event with XY start/end for the puck (and the player as carrier), compute Euclidean distance or rink-
distance along the surface, then sum across events.",,,,,,,Partial,Requires puck XY positions for possessions and an understanding of rink dimensions.,,,"The LLM should describe distance computation clearly (sqrt(dx^2 + dy^2) scaled appropriately) and note that
calibration is needed for real units."
BS33,Skater Speed Approximation,,player_game,Vision,Approximate skating speed based on positional tracking over time.,,"Speed ≈ distance traveled between tracking frames divided by time between frames, aggregated as average or max
over game.",,,,,,,No,Requires a full tracking feed (positions over time) which is not currently present in Excel-based project.,,,"LLM should treat this as a future feature, not something to compute from current data. It can, however,
explain how you would derive it from a tracking provider."
BS34,Shot Distance,,event_level,Microstat,Distance from shooter to the goal at the time of a shot.,,"Using event_xy or shot_xy coordinates, compute distance from shot location to goal location (e.g., (0,0) in
rinkcoords).",,,,,,,Yes,,,,"The LLM should rely on existing 'distance' columns if stored, otherwise recompute from XY coordinates if they
are in consistent units."
BS35,Shot Angle,,event_level,Microstat,Angle of the shot relative to the goal center.,,"Angle = arctan2(lateral_offset, distance_from_goal_line) in degrees, using rink coordinate system.",,,,,,,Partial,Requires standardized coordinate system and definition of positive angle direction.,,,"LLM should describe the coordinate convention and may use existing 'angle' columns when present rather than
recomputing blindly."
BS36,Chain-Level xG (Play Index),,play_sequence,Chain,Total xG generated during a 'play' (a continuous possession or designed play).,,"For each play_index, sum xG for all shots or shot-like events in that play.",,,,,,,Partial,Requires play_index table with chain grouping and xG at event level.,,,"When play_index exists but xG doesn't, LLM should still be able to compute 'shot count per play' and similar
simpler metrics."
BS37,Sequence Outcome (Zone-to-Zone Sequence),,sequence,Chain,"Categorization of multi-zone sequences (e.g., DZ exit → NZ carry → OZ entry → shot or turnover).",,"Label each sequence_index with an outcome class (e.g., 'shot', 'goal', 'turnover', 'dump in', 'fail to exit').",,,,,,,Partial,Requires robust chain building over events and zone labeling.,,,"LLM should not attempt to guess labels but can describe how to create a classification pipeline to label
sequences."
BS38,Game State Adjusted CF% (Score-Adjusted),,player_onice_season,Advanced,"CF% adjusted for score state (e.g., when team is trailing or leading) to reduce score effects.",,"Use a weighting scheme where Corsi events in different score states (tied, leading, trailing) get different
weights, then compute a weighted CF%.",,,,,,,No,Requires explicit game state labeling (goal diff at time of event) and agreed weighting scheme.,,,"LLM should outline typical score-adjustment methods (e.g., 2014-era NHL methodologies) but mark as future
unless game_state fields exist."
BS39,Relative CF%,,player_onice_season,Advanced,Player's CF% compared to team CF% when the player is off the ice.,,"RelCF% = CF%_on - CF%_off, where CF%_on uses player's on-ice events, CF%_off uses team events when player is
not on the ice.",,,,,,,Partial,Needs both on-ice and off-ice splits for the player.,,,LLM should note that this is a context-dependent stat and can be biased by usage and teammates.
BS40,Game Tracking Coverage,,game_level,MetaQuality,"Degree to which a game is fully, partially, or not tracked in the custom system.",,"Coverage fields: shifts_tracked (bool), events_tracked (bool), xy_tracked (bool), shots_tracked (bool),
video_tracked (bool); plus approximate time window: min(event_time_tracked), max(event_time_tracked).",,,,,,,Partial,Needs an explicit coverage table (fact_tracking_coverage) that you planned: one row per game with booleans and time ranges.,,,"LLM should always check coverage before comparing microstats across games, and warn when coverage is partial
or minimal."
CA,Corsi Against,,player_game,possession_shot_volume,Total shot attempts against while player is on ice.,Same as CF but event_team is the opposing team when player is on ice.,,,,,"fact_events_long, fact_shifts_long, dim_player, dim_team",yes,no,implemented_or_near,,,On-ice join is the key.,
CF,Corsi For,,player_game,possession_shot_volume,"Total shot attempts for while player is on ice (shots on goal, misses, blocks).","Count events where event_type IN ('shot','missed_shot','blocked_shot') and player's team is event_team AND player is on ice from shifts_long join.",,,,,"fact_events_long, fact_shifts_long, dim_player, dim_team",yes,no,implemented_or_near,,,Already approximated in previous boxscore builds; refine classification and on-ice join.,
CF_PCT,Corsi Percentage,,"Player-On-Ice-Game,Team-Game",Shot,Share of Corsi attempts for vs total when player is on ice.,,CF_PCT = CF / (CF + CA).,,,,,,,now_manual_tracking,,,,Key shot share metric; used heavily in public analytics.
CHAIN_XG_RATING_ADJ,Rating-Adjusted Sequence xG,,Sequence,Rating-Aware,xG for a sequence adjusted for offensive and defensive line ratings.,,"xG_adj = base_xG * f(avg_att_rating,avg_def_rating).",,,,,,,needs_xy,Model for f and sequence xG.,,,Brings your rating system into expected-goals logic.
CLIP_COUNT_ENTRY,Entry Clips Count,,Player-Game,Video,Number of video clips generated for OZ entries by player.,,Count events type='zone_entry' with non-null video_url_start for player.,,,,,,,now_manual_tracking,Video-link ETL step.,,,Useful for film review workloads: how many clips to watch.
CONTROLLED_ENTRY_FOR,Controlled Zone Entries For,,"Player-Game,Team-Game",Transition,Entries into OZ with possession (carry or completed pass).,,"Count events where type='zone_entry' and event_detail_1 in {'carry','pass'} and event_successful=1.",,,,,,,now_manual_tracking,Zone_entry tagging must be consistent.,,,Microstat widely used by AllThreeZones/JFresh; correlates with offense.
CONTROLLED_ENTRY_RATE,Controlled Entry Rate,,"Player-Game,Team-Game",Transition,Share of entries that are controlled.,,CONTROLLED_ENTRY_RATE = CONTROLLED_ENTRY_FOR / (CONTROLLED_ENTRY_FOR + DUMP_ENTRY_FOR).,,,,,,,now_manual_tracking,,,,Higher values suggest better transition puck management.
CYCLE_POSS_TIME,Cycle Possession Time,,player_game,xg_context,Time spent in sustained offensive-zone cycles.,"Sum time for sequences where puck remains in OZ, multiple passes, no change of possession, tagged as 'cycle' in chain table.",,,,,"fact_event_chains, fact_events_long, dim_zones",yes,no,future,,,,
DEF_GAP_AVG,Average Defensive Gap,,Player-Game,Tracking,Average distance between defender and puck carrier in NZ/OZ.,,"At each frame, identify nearest defender to carrier; average separation.",,,,,,,needs_tracking,,,,Key concept in modern defensive coaching.
DUMP_ENTRY_FOR,Dump-and-Chase Entries For,,"Player-Game,Team-Game",Transition,"Zone entries where team sends puck in without immediate possession (dump, chip).",,"Count events type='zone_entry' and event_detail_1 in {'dump','chip'}",,,,,,,now_manual_tracking,,,,Lets you compare controlled vs dump entry profiles.
DZ_EXIT_CONTROLLED,Controlled DZ Exits,,Player-Game,Transition,Defensive-zone exits where team leaves zone with possession.,,"Count events type='zone_exit' and event_detail_1 in {'carry','pass'} and success=1.",,,,,,,now_manual_tracking,,,,Important for breakout analysis and puck-moving defense.
ENTRY_CONTROLLED,Controlled Zone Entries,,player_game,micro_entry_exit,Number of offensive-zone entries with possession controlled by the player.,Count events where event_type='zone_entry' AND event_player_1=player_id AND event_detail_1='controlled' (or equivalent code).,,,,,"fact_events_long, dim_event_details, dim_zones",yes,no,future,,,Matches AllThreeZones-style microstat for entries.,
ENTRY_DENIAL,Entry Denials,,Player-Game,Micro-Defense,Number of times player stops an opposition entry at blue line.,,Count zone_entry attempts by opponent where event_successful=0 and defender is event_player_1.,,,,,,,now_manual_tracking,Defensive attribution logic.,,,Key defensive microstat; especially for defensemen.
ENTRY_DUMP,Dump-in Zone Entries,,player_game,micro_entry_exit,Number of offensive-zone entries by dumping the puck.,Same as ENTRY_CONTROLLED but event_detail_1 like 'dump_in'.,,,,,"fact_events_long, dim_event_details, dim_zones",yes,no,future,,,,
EXIT_CONTROLLED,Controlled Zone Exits,,player_game,micro_entry_exit,Number of defensive-zone exits where the team retains possession.,Count events event_type='zone_exit' AND event_player_1=player_id AND event_detail_1='controlled'.,,,,,"fact_events_long, dim_event_details, dim_zones",yes,no,future,,,,
EXIT_FAIL,Failed Zone Exits,,player_game,micro_entry_exit,"Defensive-zone exit attempts that failed (turnover, icing, etc).",Count events where event_type='zone_exit' AND play_successful=0 or event_successful=0 for the player.,,,,,"fact_events_long, dim_event_details, dim_zones",yes,no,future,,,,
FA,Fenwick Against,,player_game,possession_shot_volume,Unblocked shot attempts against while player is on ice.,Same as FF but for opponent.,,,,,"fact_events_long, fact_shifts_long, dim_player, dim_team",yes,no,planned,,,,
FF,Fenwick For,,player_game,possession_shot_volume,Unblocked shot attempts for while player is on ice.,"Count events where event_type IN ('shot','missed_shot') and player's team is event_team and player is on ice.",,,,,"fact_events_long, fact_shifts_long, dim_player, dim_team",yes,no,planned,,,Need to be sure blocked vs unblocked shot tagging is consistent.,
G,Goals,,player_game,boxscore_core,Number of goals scored by the player in the game.,Count of events where event_type='shot' AND event_detail_1='goal' AND event_player_1 = player_id.,,,,,"fact_events_long, dim_event_types, dim_player",yes,yes,implemented_or_near,,,Can also pull from league fact_gameroster for untracked games.,
GIVEAWAY,Giveaways,,Player-Game,Micro-Offense,Times a player loses puck directly to opponent while under control.,,Count events type='turnover' where event_player_1 is giver and not an intentional dump/clear/miss shot.,,,,,,,now_manual_tracking,Classification rules distinguishing dumps vs mistakes.,,,You requested refined giveaways excluding dumps/clears/miss shots.
GIVEAWAY_CLEAN,"Giveaways (non-dump, non-miss)",,player_game,micro_turnovers,Turnovers attributed to the player that are not harmless dumps or misses.,"Count events where event_type='giveaway' AND event_player_1=player_id AND event_detail_1 NOT IN ('dump','clear') AND event_detail_2 NOT LIKE '%missed_shot%'.",,,,,"fact_events_long, dim_event_details",yes,no,implemented_or_near,,,Matches your earlier request for 'real' giveaways.,
GIVEAWAY_VS_ELITE,Giveaways vs Elite Opponents,,Player-Season,Rating-Aware,Giveaways a player commits while facing lines with avg rating ≥ threshold.,,"For each giveaway, compute avg opponent rating on ice; count if >= threshold.",,,,,,,now_manual_tracking,,,,Provides rating-aware turnover context (your request).
GSAx,Goals Saved Above Expected,,"Goalie-Game,Goalie-Season",Goalie,How many goals a goalie prevents relative to expected based on shot quality.,,GSAx = Σ xG_SHOT_faced - goals_allowed.,,,,,,,needs_xy,Goalie attribution + xG model.,,,Key modern goalie stat; used widely by Evolving-Hockey/MoneyPuck.
HDCF,High-Danger Corsi For,,"Player-On-Ice-Game,Team-Game",Shot,Shot attempts from high-danger areas while player is on ice.,,Count Corsi events where danger_zone='high' or shot_xy in HD polygon.,,,,,,,needs_xy,Danger classification or polygons per rink.,,,"Mirrors public HD metrics; useful for chance quality, not just volume."
HD_SV_PCT,High-Danger Save Percentage,,"Goalie-Game,Goalie-Season",Goalie,Save percentage on high-danger shots.,,HD_SV% = (HD_shots_faced - HD_goals_allowed) / HD_shots_faced.,,,,,,,needs_xy,Danger zone classification for shots.,,,Evaluates performance on toughest chances.
LINE_CF_PER60,Line Corsi For per 60,,"Line-Combo-Game,Season",Lineup,Shot attempts for per 60 whilst a specific line combo is on ice.,,CF per line / TOI_line * 60.,,,,,,,now_manual_tracking,Line identification from shifts.,,,For optimizing line combos and matchups.
NET_FRONT_TIME,Net-Front Time on Ice,,player_game,micro_positioning,Total time the player is in net-front region while on ice.,Integrate time in shifts/events where XY location for player falls inside net-front polygon from dim_rinkcoordzones; sum durations.,,,,,"fact_xy_events, dim_rinkcoordzones, fact_shifts_long",yes,no,future,,,Depends on tracking density and how often XY is sampled.,
OZ_POSSESSION_TIME,Offensive Zone Possession Time,,"Team-Game,Player-Game",Micro-Offense,Time spent controlling puck in offensive zone.,,Sum durations of sequences labeled zone='OZ' and possession_team=team.,,,,,,,now_manual_tracking,Need clear sequences and possession logic.,,,Cycle-heavy teams will show high OZ possession time.
OZ_TIME_VS_WEAK,OZ Time vs Weaker Lines,,Player-Season,Rating-Aware,Proportion of OZ possession time when player’s line is higher-rated than opponent’s.,,Sum OZ possession where team_avg_rating > opp_avg_rating / total OZ time.,,,,,,,now_manual_tracking,Ratings for all players.,,,Contextualizes OZ dominance vs matchup difficulty.
P,Points,,player_game,boxscore_core,Total points for the player in a game.,P = G + A1 + A2.,,,,,"derived from G, A1, A2",no,yes,implemented_or_near,,,Straightforward aggregation once G and assists exist.,
PASS_ATTEMPT,Pass Attempts,,player_game,micro_passing,Number of pass attempts by the player.,Count events with event_type='pass' AND event_player_1=player_id.,,,,,fact_events_long,yes,no,future,,,,
PASS_COMPLETED,Completed Passes,,player_game,micro_passing,Number of passes completed by the player.,Count events with event_type='pass' AND event_player_1=player_id AND play_successful=1.,,,,,"fact_events_long, dim_event_details",yes,no,future,,,,
PASS_PCT,Pass Completion Percentage,,player_game,micro_passing,Share of attempted passes that are completed.,"PASS_PCT = PASS_COMPLETED / NULLIF(PASS_ATTEMPT,0).",,,,,"derived from PASS_COMPLETED, PASS_ATTEMPT",no,no,future,,,,
PLAYER_SIM_SCORE,Player Similarity Score,,player_season,analytics_meta,Composite similarity score between this player and a reference (e.g. NHL player).,Computed via ML embedding of stat vectors; cosine similarity vs reference vector.,,,,,"aggregated season stats across multiple facts, ML model",no,yes_boxscore_plus_ratings,future_research,,,"Designed for Moneyball-style comps (e.g., similarity to Cale Makar).",
PLUS_MINUS,Plus / Minus,,"Player-Game,Player-Season",Core,Goal differential while player is on ice at even strength.,,PLUS_MINUS = goals_for_on_ice - goals_against_on_ice (EV situations).,,,,,,,now_manual_tracking,,,,"Legacy metric; noisy, but familiar for coaches and players."
PTS,Points,,"Player-Game,Player-Season",Core,Goals + assists.,,PTS = G + (A1 + A2).,,,,,,,now_manual_tracking,,,,Traditional scoring stat; use with TOI for points/60.
RATING_CONTEXT_PLUSMINUS,Rating-Adjusted Plus-Minus Context,,player_game,rating_context,Plus/minus contextualized by average rating of teammates and opponents on ice.,Compute standard plus/minus and then annotate with avg/min/max rating of own line and opponent line from dim_player.rating for each GF/GA event.,,,,,"fact_events_long, fact_shifts_long, dim_player",yes,partial,planned,,,We already experimented with rating-aware stats; this formalizes that idea.,
RUSH_CHANCE_FOR,Rush Chances For,,"Player-Game,Team-Game",Transition,Shots or chances generated quickly after a full-ice rush.,,Identify sequences: DZ exit with control → NZ possession → OZ entry with control → shot within N seconds.,,,,,,,now_manual_tracking,Sequence table linking events in time.,,,Used in many public models to distinguish rush vs cycle offense.
